LineNo,UTC_Approx,TimeUS,TPD,PD,DVD,TVD,VD,DAD,TAD,AD
164507,2023-01-20 10:58:09.452273,610469944,-55.56,-55.68798,0,0.1279834,0.1722898,0,-0.1948888,0.07758045
164539,2023-01-20 10:58:09.552288,610569959,-55.56,-55.6889,0,0.1289063,0.1206672,0,-0.05893417,-0.2503052
164574,2023-01-20 10:58:09.652290,610669982,-55.56,-55.68969,0,0.1296875,0.1317486,0,0.01066339,-0.06861973
164606,2023-01-20 10:58:09.752221,610769952,-55.56,-55.68913,0,0.1291309,0.1670237,0,0.01504199,0.07840347
164639,2023-01-20 10:58:09.852274,610870019,-55.56,-55.68801,0,0.1280127,0.1441366,0,-0.02265267,0.1897564
164669,2023-01-20 10:58:09.952226,610969962,-55.56,-55.68693,0,0.1269287,0.1345154,0,-0.03866452,-0.01451111
164704,2023-01-20 10:58:10.052220,611069947,-55.56,-55.68632,0,0.1263232,0.1403107,0,0.02003721,-0.1518393
164737,2023-01-20 10:58:10.152250,611169970,-55.56,-55.68564,0,0.1256445,0.1467135,0,-0.02878991,0.3432627
164770,2023-01-20 10:58:10.252254,611269977,-55.56,-55.68106,0,0.1210596,0.1515139,0,-0.1517802,-0.224762
164800,2023-01-20 10:58:10.352228,611369964,-55.56,-55.67976,0,0.1197656,0.08601455,0,0.09699015,-0.6086645
164834,2023-01-20 10:58:10.452267,611469993,-55.56,-55.67804,0,0.118042,0.08316493,0,0.1393543,0.345603
164866,2023-01-20 10:58:10.552315,611570009,-55.56,-55.67132,0,0.1113232,0.08201723,0,0.001606942,0.2291555
164901,2023-01-20 10:58:10.652293,611669978,-55.56,-55.66439,0,0.1043896,0.04937867,0,0.09322107,-0.3416491
164933,2023-01-20 10:58:10.752259,611769954,-55.56,-55.65758,0,0.097583,0.05613782,0,0.09723506,0.08887482
164966,2023-01-20 10:58:10.852257,611869966,-55.56,-55.64811,0,0.08810547,0.08737526,0,0.0429158,-0.04096031
164996,2023-01-20 10:58:10.952231,611969958,-55.56,-55.63922,0,0.07922363,0.08383972,0,0.02567056,-0.1987591
165030,2023-01-20 10:58:11.052242,612069964,-55.56,-55.63285,0,0.07284668,0.07155187,0,0.01457084,-0.1215754
165063,2023-01-20 10:58:11.152325,612170021,-55.56,-55.62752,0,0.06752441,0.1125345,0,-0.05922873,0.2200985
165096,2023-01-20 10:58:11.252284,612269968,-55.56,-55.62096,0,0.06096191,0.1018743,0,-0.1144189,-0.1980991
165126,2023-01-20 10:58:11.352286,612369971,-55.56,-55.61596,0,0.05595703,0.07444657,0,-0.08850566,-0.07347775
165160,2023-01-20 10:58:11.452260,612469947,-55.56,-55.61102,0,0.05101562,0.05994193,0,-0.1297137,0.002684593
