LineNo,UTC_Approx,TimeUS,C,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11
68180,2023-01-20 10:53:17.759153,318166996,0,0.0001059093,7.763888E-06,8.375396E-06,7.867789E-06,0.04458749,0.04559028,0.008193206,0.5683209,0.5722346,0.1288449,4.220246E-11,4.210389E-11
68346,2023-01-20 10:53:18.259200,318667000,0,0.0001053866,7.629865E-06,8.236562E-06,8.149123E-06,0.04259034,0.04354368,0.008138897,0.5461749,0.5495688,0.1283785,4.200952E-11,4.191397E-11
68507,2023-01-20 10:53:18.759190,319166996,0,0.000104588,7.785213E-06,8.364526E-06,8.787911E-06,0.04438632,0.04546018,0.008182372,0.5662189,0.5700343,0.1286402,4.219506E-11,4.209523E-11
68675,2023-01-20 10:53:19.259253,319667000,0,0.0001041109,7.673159E-06,8.232274E-06,9.016526E-06,0.04267282,0.04371726,0.008138319,0.5455527,0.5489404,0.1282763,4.202519E-11,4.192803E-11
68834,2023-01-20 10:53:19.759142,320166996,0,0.0001043178,7.806679E-06,8.388417E-06,8.678408E-06,0.04462392,0.04580988,0.008191403,0.5671013,0.5710157,0.1286214,4.223557E-11,4.213354E-11
69000,2023-01-20 10:53:20.259200,320667000,0,0.0001037189,7.641711E-06,8.224893E-06,9.022272E-06,0.04268145,0.0437957,0.008139301,0.5453391,0.5487872,0.1281998,4.202577E-11,4.192648E-11
69162,2023-01-20 10:53:20.759242,321167011,0,0.000104316,7.77263E-06,8.371167E-06,8.260572E-06,0.04455011,0.04570942,0.008189259,0.5662404,0.5702026,0.1285581,4.222284E-11,4.211915E-11
69328,2023-01-20 10:53:21.243459,321667000,0,0.0001043952,7.665631E-06,8.257741E-06,7.906471E-06,0.0430538,0.04414748,0.008152643,0.5470419,0.5506153,0.1282727,4.206754E-11,4.196589E-11
69488,2023-01-20 10:53:21.739015,322167012,0,0.0001040122,7.796133E-06,8.394013E-06,8.107318E-06,0.04486065,0.04606926,0.008198421,0.5676084,0.5716702,0.1286073,4.224463E-11,4.213882E-11
69654,2023-01-20 10:53:22.238951,322667006,0,0.0001037013,7.635268E-06,8.22224E-06,8.136677E-06,0.0427616,0.0438844,0.008146034,0.545163,0.5487171,0.1282437,4.202327E-11,4.192071E-11
69815,2023-01-20 10:53:22.739055,323167016,0,0.0001035889,7.742663E-06,8.332963E-06,8.045744E-06,0.04417603,0.04536279,0.008180944,0.563275,0.5672479,0.1284829,4.216526E-11,4.205918E-11
69981,2023-01-20 10:53:23.238913,323666996,0,0.0001033669,7.592116E-06,8.180007E-06,7.964506E-06,0.04224142,0.04333916,0.008127615,0.5409519,0.544426,0.1280661,4.196103E-11,4.185755E-11
70141,2023-01-20 10:53:23.738874,324166999,0,0.0001030048,7.718297E-06,8.305432E-06,8.138739E-06,0.04391488,0.04507951,0.008173181,0.5600308,0.5639811,0.128395,4.214286E-11,4.203536E-11
70359,2023-01-20 10:53:24.238912,324666996,0,0.0001025258,7.597301E-06,8.180583E-06,8.338176E-06,0.04220725,0.04322951,0.008128155,0.5392485,0.5427604,0.1280445,4.197572E-11,4.187051E-11
70519,2023-01-20 10:53:24.738916,325167000,0,0.0001026005,7.74068E-06,8.333272E-06,8.099174E-06,0.04398785,0.0451007,0.008176761,0.5592702,0.5632598,0.1283854,4.217221E-11,4.20631E-11
70686,2023-01-20 10:53:25.238910,325666996,0,0.000102414,7.615936E-06,8.200303E-06,8.026888E-06,0.04230965,0.04333737,0.008134369,0.5387225,0.5422531,0.1280813,4.200514E-11,4.189901E-11
70847,2023-01-20 10:53:25.738930,326167043,0,0.0001022428,7.748095E-06,8.33765E-06,8.013483E-06,0.04395707,0.0451118,0.008178448,0.5580689,0.5620462,0.1283933,4.21792E-11,4.206944E-11
71013,2023-01-20 10:53:26.238901,326666996,0,0.0001019545,7.594176E-06,8.181175E-06,8.023409E-06,0.04202362,0.04304085,0.008123749,0.536032,0.5394987,0.1279793,4.197037E-11,4.186417E-11
71173,2023-01-20 10:53:26.738964,327167043,0,0.0001016173,7.732211E-06,8.325876E-06,8.209496E-06,0.04380372,0.04483549,0.008172878,0.5558147,0.5597262,0.1283508,4.216395E-11,4.20543E-11
