LineNo,UTC_Approx,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
109587,2023-01-20 11:14:13.312245,488246622,2,37037,583,0,6,0,0
109914,2023-01-20 11:14:14.314714,489249103,2,37124,584,0,6,0,0
110241,2023-01-20 11:14:15.297302,490251570,2,37210,585,0,6,0,0
110572,2023-01-20 11:14:16.299744,491254108,2,37296,586,0,6,0,0
110899,2023-01-20 11:14:17.302485,492256847,2,37379,587,0,6,0,0
111226,2023-01-20 11:14:18.305109,493259490,2,37463,588,0,6,0,0
111553,2023-01-20 11:14:19.307190,494261555,2,37546,589,0,6,0,0
111881,2023-01-20 11:14:20.309687,495264070,2,37630,590,0,6,0,0
112209,2023-01-20 11:14:21.312225,496266589,2,37713,591,0,6,0,0
112536,2023-01-20 11:14:22.315096,497269454,2,37797,592,0,6,0,0
112862,2023-01-20 11:14:23.306708,498271594,2,37880,593,0,6,0,0
113237,2023-01-20 11:14:24.299922,499274097,2,37963,594,0,6,0,0
113565,2023-01-20 11:14:25.302299,500276603,2,38048,595,0,6,0,0
113893,2023-01-20 11:14:26.304782,501279072,2,38131,596,0,6,0,0
114220,2023-01-20 11:14:27.307572,502281938,2,38215,597,0,6,0,0
114546,2023-01-20 11:14:28.309664,503284030,2,38298,598,0,6,0,0
114874,2023-01-20 11:14:29.312197,504286561,2,38382,599,0,6,0,0
115200,2023-01-20 11:14:30.314694,505289065,2,38465,600,0,6,0,0
115529,2023-01-20 11:14:31.317199,506291570,2,38549,601,0,6,0,0
115858,2023-01-20 11:14:32.320133,507294492,2,38632,602,0,6,0,0
116188,2023-01-20 11:14:33.313710,508296715,2,38716,603,0,6,0,0
116536,2023-01-20 11:14:34.304585,509299057,2,38799,604,0,6,0,0
116864,2023-01-20 11:14:35.307069,510301613,2,38884,605,0,6,0,0
117192,2023-01-20 11:14:36.309475,511304079,2,38967,606,0,6,0,0
117519,2023-01-20 11:14:37.312195,512306836,2,39051,607,0,6,0,0
117845,2023-01-20 11:14:38.314362,513309009,2,39134,608,0,6,0,0
118172,2023-01-20 11:14:39.316901,514311543,2,39217,609,0,6,0,0
118500,2023-01-20 11:14:40.319484,515314120,2,39301,610,0,6,0,0
118877,2023-01-20 11:14:41.321942,516316587,2,39384,611,0,6,0,0
119204,2023-01-20 11:14:42.324750,517319367,2,39468,612,0,6,0,0
119530,2023-01-20 11:14:43.315644,518321556,2,39554,613,0,6,0,0
119857,2023-01-20 11:14:44.309815,519324047,2,39638,614,0,6,0,0
120184,2023-01-20 11:14:45.312241,520326601,2,39722,615,0,6,0,0
120513,2023-01-20 11:14:46.314680,521329062,2,39806,616,0,6,0,0
120841,2023-01-20 11:14:47.317687,522332048,2,39891,617,0,6,0,0
