LineNo,UTC_Approx,TimeUS,C,Q1,Q2,Q3,Q4
231563,2023-01-20 11:20:22.681657,858396077,0,0.9619046,0.02129322,-0.1135583,0.2477716
231595,2023-01-20 11:20:22.781693,858496074,0,0.9616037,0.02153224,-0.1149589,0.2482723
231627,2023-01-20 11:20:22.881709,858596077,0,0.9614058,0.02216789,-0.1149323,0.2489942
231658,2023-01-20 11:20:22.981710,858696071,0,0.9613351,0.02582283,-0.1120812,0.2502115
231693,2023-01-20 11:20:23.081698,858796074,0,0.9611065,0.02855766,-0.1109969,0.2512737
231725,2023-01-20 11:20:23.181685,858896080,0,0.9609236,0.03200489,-0.109667,0.2521403
231757,2023-01-20 11:20:23.281693,858996076,0,0.9608952,0.03253403,-0.1092811,0.2523483
231791,2023-01-20 11:20:23.381733,859096097,0,0.9610244,0.02943842,-0.108837,0.2524283
231824,2023-01-20 11:20:23.481724,859196101,0,0.9612056,0.02639215,-0.1085572,0.2521957
231858,2023-01-20 11:20:23.581693,859296090,0,0.9611726,0.02204565,-0.1117525,0.251342
231890,2023-01-20 11:20:23.681679,859396073,0,0.9609052,0.02065929,-0.1137911,0.2515669
231922,2023-01-20 11:20:23.781698,859496084,0,0.9603726,0.02207069,-0.1128141,0.2539103
231954,2023-01-20 11:20:23.881698,859596071,0,0.9597695,0.02142821,-0.1116571,0.2567409
231985,2023-01-20 11:20:23.981719,859696078,0,0.9588146,0.01912957,-0.114799,0.2590946
232020,2023-01-20 11:20:24.081730,859796086,0,0.9578361,0.01920911,-0.1165909,0.2618923
232051,2023-01-20 11:20:24.181711,859896067,0,0.9570251,0.01866022,-0.1191937,0.2637192
232083,2023-01-20 11:20:24.281717,859996072,0,0.9563997,0.01713582,-0.1225117,0.2645693
232117,2023-01-20 11:20:24.381744,860096098,0,0.9562641,0.0195382,-0.1204183,0.2658507
232150,2023-01-20 11:20:24.481695,860196068,0,0.9557267,0.02494335,-0.1195214,0.2677292
232184,2023-01-20 11:20:24.581691,860296088,0,0.9556882,0.02666058,-0.1225819,0.2663136
232216,2023-01-20 11:20:24.681686,860396081,0,0.9564003,0.02734111,-0.1237044,0.2631508
232248,2023-01-20 11:20:24.781684,860496071,0,0.9569029,0.02745303,-0.1259187,0.2602457
232280,2023-01-20 11:20:24.881703,860596079,0,0.9577063,0.02561378,-0.1282303,0.2563197
232311,2023-01-20 11:20:24.981717,860696081,0,0.9583604,0.02353636,-0.1302588,0.2530299
232346,2023-01-20 11:20:25.081701,860796077,0,0.9590011,0.02406936,-0.1295664,0.2508985
232377,2023-01-20 11:20:25.181697,860896090,0,0.9597436,0.01867953,-0.1303057,0.2481207
