LineNo,UTC_Approx,TimeUS,RMSRollP,RMSRollD,RMSPitchP,RMSPitchD,RMSYaw
8407,2023-01-20 11:09:06.602648,180897314,0.01446459,0.01197798,0.01339484,0.01940365,0.04176627
8437,2023-01-20 11:09:06.702577,180997247,0.01532087,0.01166174,0.01163171,0.01892941,0.04469362
8472,2023-01-20 11:09:06.802666,181097340,0.01297644,0.0105112,0.01240831,0.01737912,0.04466511
8504,2023-01-20 11:09:06.902711,181197372,0.01244072,0.009387838,0.01218934,0.01886724,0.0422534
8537,2023-01-20 11:09:07.002662,181297311,0.01300215,0.009288394,0.02032676,0.02028165,0.03926095
8567,2023-01-20 11:09:07.102669,181397315,0.01238928,0.01382706,0.02884974,0.02630719,0.03406037
8602,2023-01-20 11:09:07.202778,181497422,0.0121718,0.01828607,0.03258455,0.03147854,0.02843147
8632,2023-01-20 11:09:07.302675,181597317,0.01086149,0.01643971,0.02869693,0.0385853,0.02865814
8668,2023-01-20 11:09:07.402713,181697354,0.009962061,0.01471949,0.02939131,0.0367679,0.03210523
8698,2023-01-20 11:09:07.502717,181797370,0.01523418,0.01849694,0.04092458,0.0381133,0.0392403
8731,2023-01-20 11:09:07.602646,181897311,0.02351671,0.01821826,0.05126882,0.03923647,0.0507914
8761,2023-01-20 11:09:07.702664,181997308,0.02460319,0.01985764,0.05447554,0.03542089,0.06307432
8796,2023-01-20 11:09:07.802736,182097360,0.02281817,0.02293064,0.05382672,0.03390568,0.06992079
8828,2023-01-20 11:09:07.902719,182197355,0.02086597,0.02113558,0.05300688,0.03541751,0.0690449
8861,2023-01-20 11:09:08.002669,182297317,0.02021464,0.01852769,0.04545631,0.03401823,0.06270997
8891,2023-01-20 11:09:08.102679,182397346,0.02235239,0.01916518,0.03748395,0.03089472,0.05518466
8926,2023-01-20 11:09:08.202646,182497329,0.02373759,0.01861359,0.03111322,0.02738165,0.04887625
8956,2023-01-20 11:09:08.302650,182597310,0.02244986,0.01717995,0.02982802,0.02939839,0.04395651
8991,2023-01-20 11:09:08.402743,182697382,0.02310625,0.02230118,0.0296061,0.02979047,0.03916217
9021,2023-01-20 11:09:08.502583,182797253,0.02109442,0.02347614,0.02983664,0.03163398,0.03393644
9054,2023-01-20 11:09:08.602605,182897305,0.01955918,0.02221828,0.03217437,0.03123144,0.02956617
9084,2023-01-20 11:09:08.702588,182997256,0.0178149,0.01991598,0.03394007,0.03336089,0.02699422
9119,2023-01-20 11:09:08.802672,183097308,0.01628479,0.01944133,0.03570251,0.03557684,0.02652339
9153,2023-01-20 11:09:08.902722,183197371,0.01583931,0.01962566,0.03404268,0.03710686,0.02716515
9186,2023-01-20 11:09:09.002423,183297322,0.01495557,0.02077994,0.02921381,0.03788691,0.02808766
9216,2023-01-20 11:09:09.093426,183397222,0.01387982,0.02049793,0.02516993,0.03822894,0.03005598
9249,2023-01-20 11:09:09.184638,183497351,0.01340569,0.01890943,0.02305752,0.04291052,0.03190757
9282,2023-01-20 11:09:09.283089,183597315,0.01160859,0.01862596,0.02108923,0.03934713,0.0321764
9315,2023-01-20 11:09:09.383121,183697360,0.01208896,0.01762083,0.01847326,0.03678327,0.02990346
9347,2023-01-20 11:09:09.483093,183797330,0.01617645,0.01881545,0.01725637,0.03778994,0.0263582
9378,2023-01-20 11:09:09.583029,183897262,0.01674139,0.02203955,0.01630295,0.03788526,0.02224816
9411,2023-01-20 11:09:09.683030,183997246,0.0166885,0.02106665,0.01669817,0.04013051,0.01826152
9445,2023-01-20 11:09:09.783120,184097316,0.01607404,0.02296665,0.01595606,0.03730682,0.01561006
9479,2023-01-20 11:09:09.883142,184197355,0.01511384,0.02030527,0.01769751,0.03906774,0.01559836
9510,2023-01-20 11:09:09.983103,184297339,0.01521924,0.01794338,0.01760217,0.03934193,0.01828469
9542,2023-01-20 11:09:10.083104,184397348,0.01297383,0.01725707,0.01660612,0.03638786,0.0201961
9574,2023-01-20 11:09:10.183082,184497330,0.0115625,0.01791478,0.01934013,0.03489239,0.01994007
9607,2023-01-20 11:09:10.283064,184597313,0.01040987,0.01652578,0.02217034,0.03511914,0.01832767
9640,2023-01-20 11:09:10.383121,184697371,0.009673837,0.01627907,0.02425969,0.03701419,0.01523625
9672,2023-01-20 11:09:10.483009,184797351,0.009427394,0.01630267,0.02345522,0.0385158,0.0129061
9705,2023-01-20 11:09:10.583020,184897473,0.01057886,0.0223548,0.02033108,0.03680286,0.01253616
9737,2023-01-20 11:09:10.682835,184997252,0.01217148,0.0242728,0.01979121,0.03630976,0.01348367
9770,2023-01-20 11:09:10.783075,185097425,0.0121198,0.0236002,0.02225563,0.03528778,0.01655188
9804,2023-01-20 11:09:10.883053,185197411,0.0119648,0.0216937,0.02143361,0.03478583,0.01928064
9835,2023-01-20 11:09:10.983063,185297443,0.01136018,0.02230692,0.01890616,0.03467846,0.02129305
9868,2023-01-20 11:09:11.082928,185397318,0.01096507,0.02144313,0.01878708,0.03657247,0.0224324
9900,2023-01-20 11:09:11.183061,185497459,0.01244764,0.02269765,0.01842228,0.03572031,0.02211384
9933,2023-01-20 11:09:11.282847,185597258,0.01163948,0.02159571,0.01809076,0.04049294,0.0215184
9966,2023-01-20 11:09:11.383072,185697497,0.01222177,0.02470735,0.01904166,0.03973052,0.02171998
9997,2023-01-20 11:09:11.482824,185797248,0.01765301,0.02369129,0.01902541,0.0397343,0.02484832
10028,2023-01-20 11:09:11.583014,185897434,0.0157298,0.02169606,0.01649512,0.03557829,0.02923421
10060,2023-01-20 11:09:11.682939,185997341,0.01376776,0.02082285,0.0158142,0.0364076,0.03000638
10093,2023-01-20 11:09:11.783033,186097415,0.01231923,0.02170061,0.01688813,0.04125373,0.02708803
10127,2023-01-20 11:09:11.882972,186197355,0.01149376,0.02337119,0.01542864,0.03886773,0.02359528
10158,2023-01-20 11:09:11.983032,186297421,0.01081668,0.02437205,0.0151854,0.03874867,0.02027494
10190,2023-01-20 11:09:12.082835,186397250,0.01008086,0.02371245,0.01471432,0.03896613,0.01727528
10222,2023-01-20 11:09:12.183056,186497501,0.009936723,0.02499153,0.01325038,0.03557812,0.01434575
10255,2023-01-20 11:09:12.282820,186597242,0.009012633,0.02268227,0.01321016,0.03481642,0.01176915
10289,2023-01-20 11:09:12.383090,186697479,0.008737385,0.02279169,0.01282785,0.03453916,0.009680892
10321,2023-01-20 11:09:12.482970,186797373,0.007974132,0.02030694,0.01257987,0.03429887,0.008553001
10352,2023-01-20 11:09:12.582994,186897421,0.00847025,0.02128012,0.01233214,0.03348534,0.008521447
10384,2023-01-20 11:09:12.682905,186997310,0.009117272,0.0200314,0.01267972,0.03365637,0.009036023
10417,2023-01-20 11:09:12.783039,187097413,0.009096012,0.02081566,0.01287867,0.0335073,0.008584423
10451,2023-01-20 11:09:12.882975,187197349,0.008172295,0.01924421,0.0158745,0.03561876,0.007374802
