LineNo,UTC_Approx,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
7521,2023-01-20 11:09:03.902445,178197105,-2.72,2.01,161.45,748.95,39.8043813,32.3787948,0.1606112,-0.02117791,-0.0206469,0.9865745
7554,2023-01-20 11:09:04.002415,178297087,-2.98,1.37,161.8,749.08,39.804381,32.3787939,0.1577346,-0.01594933,-0.02384178,0.9870648
7585,2023-01-20 11:09:04.102391,178397072,-2.72,1.29,161.88,749.38,39.8043807,32.3787933,0.1570868,-0.0149032,-0.02172207,0.9872334
7620,2023-01-20 11:09:04.202537,178497225,-1.75,1.86,161.47,749.52,39.8043799,32.3787924,0.1606933,-0.01853055,-0.01245141,0.9867519
7650,2023-01-20 11:09:04.302408,178597073,-0.99,2.11,160.82,749.46,39.8043794,32.3787917,0.1663267,-0.01967793,-0.005441012,0.9858593
7685,2023-01-20 11:09:04.402459,178697101,-1.15,2.58,160.01,749.54,39.8043796,32.3787912,0.1732425,-0.02398654,-0.00597553,0.9845689
7715,2023-01-20 11:09:04.502446,178797104,-1.7,2.94,159.08,749.65,39.8043793,32.3787906,0.1809907,-0.02800656,-0.009981316,0.9830353
7748,2023-01-20 11:09:04.602405,178897078,-1.99,2.99,158.11,749.81,39.8043781,32.3787902,0.1892868,-0.02897323,-0.01215452,0.981419
7778,2023-01-20 11:09:04.702421,178997070,-2.04,2.56,157.32,750,39.8043775,32.3787896,0.1960943,-0.02548338,-0.01304712,0.980167
7813,2023-01-20 11:09:04.802441,179097067,-1.93,2.95,156.79,750.13,39.8043768,32.3787888,0.2005848,-0.02868111,-0.01135648,0.9791906
