LineNo,UTC_Approx,TimeUS,LiftMax,BatVolt,ThLimit,ThrAvMx,FailFlags
10667,2023-01-20 11:09:13.582686,187897111,0.9468044,0.9673401,1,0.3255126,2
10699,2023-01-20 11:09:13.682748,187997158,0.9468891,0.9673927,1,0.3271098,2
10732,2023-01-20 11:09:13.782720,188097106,0.9468687,0.96738,1,0.3310494,2
10766,2023-01-20 11:09:13.882784,188197162,0.9468868,0.9673913,1,0.333128,2
10797,2023-01-20 11:09:13.982752,188297126,0.9468594,0.9673743,1,0.3357891,2
10829,2023-01-20 11:09:14.082732,188397114,0.9468659,0.9673783,1,0.3352078,2
10861,2023-01-20 11:09:14.182774,188497166,0.9468285,0.9673551,1,0.3384792,2
10895,2023-01-20 11:09:14.282743,188597130,0.9467919,0.9673322,1,0.340925,2
10929,2023-01-20 11:09:14.382775,188697152,0.9466718,0.9672576,1,0.342361,2
10961,2023-01-20 11:09:14.482707,188797107,0.9466189,0.9672247,1,0.3471524,2
10992,2023-01-20 11:09:14.582691,188897120,0.946592,0.9672079,1,0.3484906,2
11024,2023-01-20 11:09:14.682743,188997152,0.946523,0.9671649,1,0.3496134,2
11057,2023-01-20 11:09:14.782723,189097101,0.9464062,0.9670923,1,0.3470021,2
11091,2023-01-20 11:09:14.882773,189197163,0.9463691,0.9670692,1,0.3446565,2
11122,2023-01-20 11:09:14.982749,189297160,0.9463362,0.9670487,1,0.3473314,2
11154,2023-01-20 11:09:15.082699,189397104,0.9463403,0.9670513,1,0.3560876,2
11186,2023-01-20 11:09:15.182736,189497131,0.946224,0.9669789,1,0.3535225,2
11219,2023-01-20 11:09:15.282727,189597105,0.946142,0.9669279,1,0.3470275,2
11255,2023-01-20 11:09:15.382771,189697130,0.9461911,0.9669585,1,0.3504941,2
11287,2023-01-20 11:09:15.482731,189797126,0.9461284,0.9669195,1,0.350096,2
11320,2023-01-20 11:09:15.582699,189897141,0.9460263,0.9668559,1,0.3560812,2
11352,2023-01-20 11:09:15.682677,189997090,0.9459668,0.9668189,1,0.3537292,2
11385,2023-01-20 11:09:15.782719,190097088,0.9458331,0.9667357,1,0.3537231,2
11419,2023-01-20 11:09:15.882761,190197122,0.9458091,0.9667208,1,0.3679872,2
11450,2023-01-20 11:09:15.982756,190297117,0.945727,0.9666696,1,0.3599095,2
11482,2023-01-20 11:09:16.082734,190397098,0.945583,0.96658,1,0.3571121,2
11514,2023-01-20 11:09:16.182783,190497150,0.9455534,0.9665616,1,0.3566526,2
11547,2023-01-20 11:09:16.282716,190597083,0.945514,0.9665371,1,0.36582,2
11580,2023-01-20 11:09:16.382766,190697131,0.9453683,0.9664463,1,0.356424,2
11612,2023-01-20 11:09:16.482718,190797098,0.9453169,0.9664143,1,0.3542019,2
11643,2023-01-20 11:09:16.582686,190897083,0.9453379,0.9664274,1,0.3505646,2
11675,2023-01-20 11:09:16.682703,190997091,0.9452022,0.966343,1,0.3474755,2
11708,2023-01-20 11:09:16.782709,191097083,0.9452485,0.9663718,1,0.3520346,2
11742,2023-01-20 11:09:16.882802,191197169,0.9452328,0.966362,1,0.3502171,2
11773,2023-01-20 11:09:16.982754,191297116,0.945161,0.9663173,1,0.3509706,2
11805,2023-01-20 11:09:17.082717,191397081,0.9450642,0.966257,1,0.351252,2
11837,2023-01-20 11:09:17.182738,191497105,0.9450085,0.9662223,1,0.3595002,2
11870,2023-01-20 11:09:17.282728,191597091,0.9448928,0.9661503,1,0.3575688,2
11903,2023-01-20 11:09:17.382763,191697119,0.9447464,0.9660591,1,0.3581127,2
11935,2023-01-20 11:09:17.482769,191797152,0.9446433,0.965995,1,0.3525389,2
11966,2023-01-20 11:09:17.582722,191897138,0.9445862,0.9659594,1,0.3606133,2
11998,2023-01-20 11:09:17.682691,191997085,0.9445733,0.9659514,1,0.3623127,2
12031,2023-01-20 11:09:17.782728,192097089,0.9444857,0.9658968,1,0.3535101,2
