LineNo,UTC_Approx,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
192372,2023-01-20 11:18:23.928964,739396088,0,408,0.0025,0.0025,0.01248487,0.01251341,0.01103581,0.01304251,0.01103583,0.01304258
194043,2023-01-20 11:18:29.021711,744496076,0,408,0.0025,0.0025,0.01248475,0.01251331,0.01103591,0.01304257,0.01103591,0.0130426
195708,2023-01-20 11:18:34.101593,749596075,0,408,0.0025,0.0025,0.01248467,0.01251335,0.0110359,0.01304262,0.01103587,0.01304259
197427,2023-01-20 11:18:39.201520,754696125,0,408,0.0025,0.0025,0.01248491,0.01251342,0.01103594,0.01304271,0.01103592,0.01304266
199093,2023-01-20 11:18:44.281871,759796075,0,408,0.0025,0.0025,0.01248486,0.01251337,0.01103598,0.01304271,0.01103595,0.01304268
200760,2023-01-20 11:18:49.381703,764896079,0,408,0.0025,0.0025,0.0124847,0.01251335,0.011036,0.01304274,0.01103598,0.01304273
202429,2023-01-20 11:18:54.461790,769996080,0,408,0.0025,0.0025,0.01248464,0.01251337,0.01103608,0.01304278,0.01103606,0.01304279
204149,2023-01-20 11:18:59.561662,775096090,0,408,0.0025,0.0025,0.01248483,0.01251272,0.01103608,0.01304287,0.01103622,0.01304284
205817,2023-01-20 11:19:04.641672,780196072,0,408,0.0025,0.0025,0.01248586,0.01251215,0.01203944,0.01304295,0.01203941,0.01304292
207479,2023-01-20 11:19:09.741682,785296078,0,408,0.0025,0.0025,0.01248593,0.01251219,0.0120395,0.01304301,0.01203948,0.01304299
209136,2023-01-20 11:19:14.821715,790396080,0,408,0.0025,0.0025,0.01248484,0.0125135,0.01103629,0.01304304,0.01103625,0.01304303
210801,2023-01-20 11:19:19.921692,795496069,0,408,0.0025,0.0025,0.01248511,0.01251365,0.01103627,0.01304307,0.0110363,0.01304309
212507,2023-01-20 11:19:25.001514,800596117,0,408,0.0025,0.0025,0.01248514,0.01251364,0.01103627,0.01304306,0.01103628,0.01304311
214179,2023-01-20 11:19:30.081916,805696088,0,408,0.0025,0.0025,0.01248509,0.01251364,0.0110363,0.01304314,0.01103628,0.01304309
215845,2023-01-20 11:19:35.181723,810796082,0,408,0.0025,0.0025,0.01248519,0.01251376,0.0110363,0.01304314,0.01103632,0.01304316
217514,2023-01-20 11:19:40.261845,815896083,0,408,0.0025,0.0025,0.01248502,0.01251376,0.01103632,0.01304311,0.0110363,0.01304316
219228,2023-01-20 11:19:45.361695,820996072,0,408,0.0025,0.0025,0.01248511,0.0125138,0.01103636,0.01304314,0.01103632,0.01304314
220899,2023-01-20 11:19:50.441814,826096079,0,408,0.0025,0.0025,0.01248531,0.01251384,0.01103632,0.01304314,0.0110363,0.01304313
222571,2023-01-20 11:19:55.541680,831196090,0,408,0.0025,0.0025,0.0124851,0.01251381,0.0110363,0.01304313,0.01103634,0.01304313
224290,2023-01-20 11:20:00.621727,836296084,0,408,0.0025,0.0025,0.01248518,0.0125138,0.01103632,0.01304314,0.0110363,0.01304309
225955,2023-01-20 11:20:05.721684,841396067,0,408,0.0025,0.0025,0.0124852,0.01251381,0.01103628,0.01304309,0.0110363,0.01304311
227625,2023-01-20 11:20:10.801456,846496095,0,408,0.0025,0.0025,0.01248545,0.01251384,0.01103629,0.01304309,0.0110363,0.01304308
229339,2023-01-20 11:20:15.901467,851596074,0,408,0.0025,0.0025,0.01248552,0.01251395,0.01103629,0.01304307,0.01103626,0.01304304
231007,2023-01-20 11:20:20.981729,856696086,0,408,0.0025,0.0025,0.01248544,0.01251395,0.01103621,0.01304305,0.01103625,0.01304303
232676,2023-01-20 11:20:26.081729,861796073,0,408,0.0025,0.0025,0.0124856,0.01251392,0.01103624,0.01304301,0.01103621,0.01304298
234394,2023-01-20 11:20:31.161664,866896080,0,408,0.0025,0.0025,0.01248546,0.01251391,0.01103619,0.01304296,0.0110362,0.01304304
236061,2023-01-20 11:20:36.261690,871996071,0,408,0.0025,0.0025,0.01248517,0.01251406,0.01103619,0.01304296,0.01103617,0.01304297
237731,2023-01-20 11:20:41.341709,877096078,0,408,0.0025,0.0025,0.01248526,0.012514,0.01103616,0.01304292,0.01103614,0.01304292
239399,2023-01-20 11:20:46.441710,882196077,0,408,0.0025,0.0025,0.01248552,0.01251401,0.01103611,0.01304289,0.01103614,0.01304293
241118,2023-01-20 11:20:51.521635,887296075,0,408,0.0025,0.0025,0.01248545,0.01251402,0.01103614,0.0130429,0.01103611,0.01304286
242781,2023-01-20 11:20:56.601506,892396103,0,408,0.0025,0.0025,0.01248547,0.01251391,0.01103611,0.01304286,0.01103606,0.01304286
244442,2023-01-20 11:21:01.701435,897496079,0,408,0.0025,0.0025,0.01248529,0.0125139,0.01103606,0.01304283,0.01103604,0.01304281
246104,2023-01-20 11:21:06.783394,902596123,0,408,0.0025,0.0025,0.01248545,0.01251406,0.01103603,0.0130428,0.01103601,0.01304281
247768,2023-01-20 11:21:11.881715,907696100,0,408,0.0025,0.0025,0.01248549,0.01251402,0.01103601,0.01304275,0.01103599,0.01304276
249479,2023-01-20 11:21:16.961910,912796074,0,408,0.0025,0.0025,0.01248518,0.01251383,0.01103598,0.01304273,0.01103601,0.01304278
251147,2023-01-20 11:21:22.061673,917896072,0,408,0.0025,0.0025,0.01248506,0.01251368,0.01103602,0.01304276,0.01103599,0.01304278
252812,2023-01-20 11:21:27.141845,922996069,0,408,0.0025,0.0025,0.01248495,0.0125135,0.01103603,0.01304273,0.01103601,0.01304277
254481,2023-01-20 11:21:32.241702,928096718,0,408,0.0025,0.0025,0.01248504,0.01251851,0.01103602,0.01304278,0.01103601,0.01304279
256137,2023-01-20 11:21:37.321655,933196692,0,408,0.0025,0.0025,0.01248481,0.0125196,0.01103606,0.01304284,0.01103603,0.01304282
257841,2023-01-20 11:21:42.421650,938296700,0,408,0.0025,0.0025,0.01248477,0.01251356,0.01103613,0.01304289,0.01103611,0.01304286
259505,2023-01-20 11:21:47.501395,943396725,0,408,0.0025,0.0025,0.01248491,0.01251349,0.0110361,0.01304289,0.01103611,0.0130429
261174,2023-01-20 11:21:52.601368,948496741,0,408,0.0025,0.0025,0.0124848,0.01251333,0.01103617,0.01304293,0.01103615,0.01304291
262834,2023-01-20 11:21:57.681640,953596699,0,408,0.0025,0.0025,0.01248481,0.01251343,0.01103623,0.01304296,0.01103618,0.01304298
264537,2023-01-20 11:22:02.781657,958696692,0,408,0.0025,0.0025,0.01248499,0.01251352,0.0110362,0.01304295,0.01103624,0.01304303
266187,2023-01-20 11:22:07.861681,963796698,0,408,0.0025,0.0025,0.01248463,0.0125129,0.01103623,0.01304303,0.01103629,0.01304306
267836,2023-01-20 11:22:12.941848,968896701,0,408,0.0025,0.0025,0.01248516,0.01251349,0.0110363,0.01304309,0.01103633,0.01304312
269490,2023-01-20 11:22:18.041651,973996696,0,408,0.0025,0.0025,0.01248488,0.01251361,0.01103635,0.01304312,0.01103631,0.01304307
271145,2023-01-20 11:22:23.121764,979096692,0,408,0.0025,0.0025,0.01248526,0.0125135,0.01103635,0.01304317,0.01103634,0.01304313
272801,2023-01-20 11:22:28.221694,984196702,0,408,0.0025,0.0025,0.01248525,0.01251371,0.01103635,0.01304319,0.01103636,0.01304317
274454,2023-01-20 11:22:33.301420,989296699,0,408,0.0025,0.0025,0.01248507,0.01251382,0.01103636,0.01304315,0.01103633,0.01304312
276108,2023-01-20 11:22:38.401483,994396742,0,408,0.0025,0.0025,0.01248509,0.01251383,0.01103634,0.01304318,0.01103635,0.01304316
277758,2023-01-20 11:22:43.481691,999496699,0,408,0.0025,0.0025,0.01248511,0.01251383,0.01103635,0.01304314,0.01103639,0.0130431
279409,2023-01-20 11:22:48.581617,1004596693,0,408,0.0025,0.0025,0.01248532,0.01251388,0.01103633,0.01304317,0.01103635,0.01304316
281064,2023-01-20 11:22:53.661633,1009696708,0,408,0.0025,0.0025,0.01248505,0.0125138,0.01103634,0.01304313,0.01103632,0.01304311
282714,2023-01-20 11:22:58.761672,1014796705,0,408,0.0025,0.0025,0.01248505,0.01251385,0.01103632,0.01304316,0.01103636,0.01304315
284274,2023-01-20 11:23:03.841748,1019896679,0,408,0.0025,0.0025,0.01248513,0.0125139,0.01103634,0.01304313,0.01103632,0.0130431
285820,2023-01-20 11:23:08.941746,1024996681,0,408,0.0025,0.0025,0.01248528,0.01251383,0.0110363,0.01304311,0.01103634,0.01304315
